movie_title,genres,budget,gross,imdb_score,plot_keywords
Avatar ,Action,237000000.0,760505847.0,7.9,avatar
Avatar ,Adventure,237000000.0,760505847.0,7.9,avatar
Avatar ,Fantasy,237000000.0,760505847.0,7.9,avatar
Avatar ,Sci-Fi,237000000.0,760505847.0,7.9,avatar
Avatar ,Action,237000000.0,760505847.0,7.9,future
Avatar ,Adventure,237000000.0,760505847.0,7.9,future
Avatar ,Fantasy,237000000.0,760505847.0,7.9,future
Avatar ,Sci-Fi,237000000.0,760505847.0,7.9,future
Avatar ,Action,237000000.0,760505847.0,7.9,marine
Avatar ,Adventure,237000000.0,760505847.0,7.9,marine
Avatar ,Fantasy,237000000.0,760505847.0,7.9,marine
Avatar ,Sci-Fi,237000000.0,760505847.0,7.9,marine
Avatar ,Action,237000000.0,760505847.0,7.9,native
Avatar ,Adventure,237000000.0,760505847.0,7.9,native
Avatar ,Fantasy,237000000.0,760505847.0,7.9,native
Avatar ,Sci-Fi,237000000.0,760505847.0,7.9,native
Avatar ,Action,237000000.0,760505847.0,7.9,paraplegic
Avatar ,Adventure,237000000.0,760505847.0,7.9,paraplegic
Avatar ,Fantasy,237000000.0,760505847.0,7.9,paraplegic
Avatar ,Sci-Fi,237000000.0,760505847.0,7.9,paraplegic
Pirates of the Caribbean: At World's End ,Action,300000000.0,309404152.0,7.1,goddess
Pirates of the Caribbean: At World's End ,Adventure,300000000.0,309404152.0,7.1,goddess
Pirates of the Caribbean: At World's End ,Fantasy,300000000.0,309404152.0,7.1,goddess
Pirates of the Caribbean: At World's End ,Action,300000000.0,309404152.0,7.1,marriage ceremony
Pirates of the Caribbean: At World's End ,Adventure,300000000.0,309404152.0,7.1,marriage ceremony
Pirates of the Caribbean: At World's End ,Fantasy,300000000.0,309404152.0,7.1,marriage ceremony
Pirates of the Caribbean: At World's End ,Action,300000000.0,309404152.0,7.1,marriage proposal
Pirates of the Caribbean: At World's End ,Adventure,300000000.0,309404152.0,7.1,marriage proposal
Pirates of the Caribbean: At World's End ,Fantasy,300000000.0,309404152.0,7.1,marriage proposal
Pirates of the Caribbean: At World's End ,Action,300000000.0,309404152.0,7.1,pirate
Pirates of the Caribbean: At World's End ,Adventure,300000000.0,309404152.0,7.1,pirate
Pirates of the Caribbean: At World's End ,Fantasy,300000000.0,309404152.0,7.1,pirate
Pirates of the Caribbean: At World's End ,Action,300000000.0,309404152.0,7.1,singapore
Pirates of the Caribbean: At World's End ,Adventure,300000000.0,309404152.0,7.1,singapore
Pirates of the Caribbean: At World's End ,Fantasy,300000000.0,309404152.0,7.1,singapore
Spectre ,Action,245000000.0,200074175.0,6.8,bomb
Spectre ,Adventure,245000000.0,200074175.0,6.8,bomb
Spectre ,Thriller,245000000.0,200074175.0,6.8,bomb
Spectre ,Action,245000000.0,200074175.0,6.8,espionage
Spectre ,Adventure,245000000.0,200074175.0,6.8,espionage
Spectre ,Thriller,245000000.0,200074175.0,6.8,espionage
Spectre ,Action,245000000.0,200074175.0,6.8,sequel
Spectre ,Adventure,245000000.0,200074175.0,6.8,sequel
Spectre ,Thriller,245000000.0,200074175.0,6.8,sequel
Spectre ,Action,245000000.0,200074175.0,6.8,spy
Spectre ,Adventure,245000000.0,200074175.0,6.8,spy
Spectre ,Thriller,245000000.0,200074175.0,6.8,spy
Spectre ,Action,245000000.0,200074175.0,6.8,terrorist
Spectre ,Adventure,245000000.0,200074175.0,6.8,terrorist
Spectre ,Thriller,245000000.0,200074175.0,6.8,terrorist
The Dark Knight Rises ,Action,250000000.0,448130642.0,8.5,deception
The Dark Knight Rises ,Thriller,250000000.0,448130642.0,8.5,deception
The Dark Knight Rises ,Action,250000000.0,448130642.0,8.5,imprisonment
The Dark Knight Rises ,Thriller,250000000.0,448130642.0,8.5,imprisonment
The Dark Knight Rises ,Action,250000000.0,448130642.0,8.5,lawlessness
The Dark Knight Rises ,Thriller,250000000.0,448130642.0,8.5,lawlessness
The Dark Knight Rises ,Action,250000000.0,448130642.0,8.5,police officer
The Dark Knight Rises ,Thriller,250000000.0,448130642.0,8.5,police officer
The Dark Knight Rises ,Action,250000000.0,448130642.0,8.5,terrorist plot
The Dark Knight Rises ,Thriller,250000000.0,448130642.0,8.5,terrorist plot
John Carter ,Action,263700000.0,73058679.0,6.6,alien
John Carter ,Adventure,263700000.0,73058679.0,6.6,alien
John Carter ,Sci-Fi,263700000.0,73058679.0,6.6,alien
John Carter ,Action,263700000.0,73058679.0,6.6,american civil war
John Carter ,Adventure,263700000.0,73058679.0,6.6,american civil war
John Carter ,Sci-Fi,263700000.0,73058679.0,6.6,american civil war
John Carter ,Action,263700000.0,73058679.0,6.6,male nipple
John Carter ,Adventure,263700000.0,73058679.0,6.6,male nipple
John Carter ,Sci-Fi,263700000.0,73058679.0,6.6,male nipple
John Carter ,Action,263700000.0,73058679.0,6.6,mars
John Carter ,Adventure,263700000.0,73058679.0,6.6,mars
John Carter ,Sci-Fi,263700000.0,73058679.0,6.6,mars
John Carter ,Action,263700000.0,73058679.0,6.6,princess
John Carter ,Adventure,263700000.0,73058679.0,6.6,princess
John Carter ,Sci-Fi,263700000.0,73058679.0,6.6,princess
Spider-Man 3 ,Action,258000000.0,336530303.0,6.2,sandman
Spider-Man 3 ,Adventure,258000000.0,336530303.0,6.2,sandman
Spider-Man 3 ,Romance,258000000.0,336530303.0,6.2,sandman
Spider-Man 3 ,Action,258000000.0,336530303.0,6.2,spider man
Spider-Man 3 ,Adventure,258000000.0,336530303.0,6.2,spider man
Spider-Man 3 ,Romance,258000000.0,336530303.0,6.2,spider man
Spider-Man 3 ,Action,258000000.0,336530303.0,6.2,symbiote
Spider-Man 3 ,Adventure,258000000.0,336530303.0,6.2,symbiote
Spider-Man 3 ,Romance,258000000.0,336530303.0,6.2,symbiote
Spider-Man 3 ,Action,258000000.0,336530303.0,6.2,venom
Spider-Man 3 ,Adventure,258000000.0,336530303.0,6.2,venom
Spider-Man 3 ,Romance,258000000.0,336530303.0,6.2,venom
Spider-Man 3 ,Action,258000000.0,336530303.0,6.2,villain
Spider-Man 3 ,Adventure,258000000.0,336530303.0,6.2,villain
Spider-Man 3 ,Romance,258000000.0,336530303.0,6.2,villain
Tangled ,Adventure,260000000.0,200807262.0,7.8,17th century
Tangled ,Animation,260000000.0,200807262.0,7.8,17th century
Tangled ,Comedy,260000000.0,200807262.0,7.8,17th century
Tangled ,Family,260000000.0,200807262.0,7.8,17th century
Tangled ,Fantasy,260000000.0,200807262.0,7.8,17th century
Tangled ,Musical,260000000.0,200807262.0,7.8,17th century
Tangled ,Romance,260000000.0,200807262.0,7.8,17th century
Tangled ,Adventure,260000000.0,200807262.0,7.8,based on fairy tale
Tangled ,Animation,260000000.0,200807262.0,7.8,based on fairy tale
Tangled ,Comedy,260000000.0,200807262.0,7.8,based on fairy tale
Tangled ,Family,260000000.0,200807262.0,7.8,based on fairy tale
Tangled ,Fantasy,260000000.0,200807262.0,7.8,based on fairy tale
Tangled ,Musical,260000000.0,200807262.0,7.8,based on fairy tale
Tangled ,Romance,260000000.0,200807262.0,7.8,based on fairy tale
Tangled ,Adventure,260000000.0,200807262.0,7.8,disney
Tangled ,Animation,260000000.0,200807262.0,7.8,disney
Tangled ,Comedy,260000000.0,200807262.0,7.8,disney
Tangled ,Family,260000000.0,200807262.0,7.8,disney
Tangled ,Fantasy,260000000.0,200807262.0,7.8,disney
Tangled ,Musical,260000000.0,200807262.0,7.8,disney
